iter	Passed	Remaining
0	3	343
1	6	324
2	9	309
3	12	292
4	15	289
5	18	285
6	21	281
7	24	278
8	27	273
9	29	268
10	32	263
11	34	251
12	35	238
13	37	227
14	38	217
15	39	206
16	39	194
17	40	184
18	41	175
19	41	166
20	42	159
21	42	152
22	43	145
23	44	139
24	44	134
25	45	129
26	46	124
27	46	119
28	47	115
29	47	111
30	48	107
31	49	104
32	49	100
33	50	97
34	50	94
35	51	91
36	52	88
37	52	86
38	53	83
39	53	80
40	54	78
41	54	75
42	55	73
43	56	71
44	56	69
45	57	67
46	58	65
47	58	63
48	59	61
49	59	59
50	60	58
51	61	56
52	61	54
53	62	53
54	62	51
55	63	49
56	64	48
57	64	46
58	65	45
59	65	43
60	66	42
61	67	41
62	67	39
63	68	38
64	69	37
65	70	36
66	70	34
67	71	33
68	72	32
69	73	31
70	73	30
71	74	29
72	75	27
73	76	26
74	77	25
75	77	24
76	78	23
77	79	22
78	80	21
79	80	20
80	81	19
81	82	18
82	83	17
83	83	15
84	84	14
85	85	13
86	85	12
87	86	11
88	86	10
89	87	9
90	88	8
91	88	7
92	89	6
93	89	5
94	90	4
95	91	3
96	91	2
97	92	1
98	92	0
99	93	0
